City_ID,Year,Month,Time_Leaving_For_Work,Age_Group,Main_Mode_Of_Commuting,Commuting_Duration,Avg_Commuting_Count,Transit_Ridership,Location,Road_Surface_Condition,Accident_Time,Num_Of_Vehicle,Num_Of_Injuries,Num_Of_Minor_Injuries,Num_Of_Major_Injuries,Wheelchair_Accessible,Bikes_Allowed,Traffic_Disruption,Avg_Delay_Time,Incident_Type
8,2023,6,Between 12 pm and 4:59 am,35 to 44 years,Car and  truck or van,60 minutes and over,345,,655 Fairway Rd S Kitchener ONN2C 1X4,04   Slush,09:43,2,,,,,,Vandalism,14,Medical
8,2023,7,Between 12 pm and 4:59 am,35 to 44 years,Public transit,60 minutes and over,55,,428 Gage Ave Unit A Kitchener ONN2M 5C9,06   Ice,10:11,1,,,,,,Celebration Event,20,Medical
8,2023,8,Between 12 pm and 4:59 am,45 to 54 years,Car and  truck or van,15 to 29 minutes,1375,,700 Strasburg Rd W Kitchener ONN2E 2M2,01   Dry,10:22,2,1,,,,,Road Blocked,26,Medical
8,2023,9,Between 12 pm and 4:59 am,45 to 54 years,Public transit,60 minutes and over,45,,235 King St E Kitchener ONN2G 2L1,04   Slush,09:30,2,,,,,,Traffic Congestion,45,Medical
8,2023,10,Between 12 pm and 4:59 am,55 to 64 years,Car and  truck or van,15 to 29 minutes,1285,,100 Park St Kitchener ONN2G 1M6,09   Spilled liquid,11:05,2,,,,,,Fallen Sign,10,Medical
8,2023,11,Between 12 pm and 4:59 am,55 to 64 years,Public transit,60 minutes and over,35,,379 Gage Ave Unit A Kitchener ONN2M 5E1,09   Spilled liquid,11:15,2,,,,,,Suspicious Package,21,Medical
8,2023,12,Between 5 am and 5:59 am,45 to 54 years,Public transit,15 to 29 minutes,10,,500 Fairway Rd S Kitchener ONN2C 1X3,05   Packed snow,00:00,1,,,,,,Traffic Congestion,34,Medical
2,2021,1,Between 6 am and 6:59 am,15 to 24 years,Public transit,15 to 29 minutes,415,,3025 Rue Sherbrooke O Montreal QC H3Z 1A7,02   Wet,16:17,2,,,,1,1,Traffic Congestion,5,Medical
2,2021,2,Between 6 am and 6:59 am,15 to 24 years,Public transit,30 to 59 minutes,595,,1000 Rue de la Gauchetière O Montreal QC H3B 4W5,04   Slush,08:20,2,,,,1,1,Road Maintenance,15,Medical
2,2021,3,Between 6 am and 6:59 am,15 to 24 years,Public transit,60 minutes and over,630,,300 Boulevard René-Lévesque E Montreal QC H2X 3Y2,02   Wet,16:58,2,,,,1,1,Vehicle Collision,20,Medical
2,2021,4,Between 6 am and 6:59 am,25 to 34 years,Car and  truck or van,15 to 29 minutes,10005,,300 Chemin de la Côte-Sainte-Catherine Montreal QC H2V 2A7,02   Wet,17:44,1,,,,1,1,Medical Emergency,8,Medical
2,2021,5,Between 6 am and 6:59 am,25 to 34 years,Public transit,15 to 29 minutes,565,,1260 Rue Crescent Montreal QC H3G 2B1,02   Wet,18:20,2,,,,1,1,Road Debris,10,Medical
2,2021,6,Between 6 am and 6:59 am,25 to 34 years,Subway or elevated rail,15 to 29 minutes,235,,3800 Chemin de la Côte-des-Neiges Montreal QC H3H 1V1,02   Wet,18:34,1,,,,1,1,Traffic Signal Issue,12,Medical
2,2021,7,Between 6 am and 6:59 am,25 to 34 years,Subway or elevated rail,30 to 59 minutes,420,,475 Avenue des Pins O Montreal QC H2W 1S4,01   Dry,19:17,1,,,,1,1,Vehicle Breakdown,18,Medical
2,2021,8,Between 6 am and 6:59 am,25 to 34 years,Subway or elevated rail,60 minutes and over,430,,2090 Rue Mackay Montreal QC H3G 2J1,01   Dry,19:16,2,,,,1,1,Severe Weather,30,Medical
2,2021,9,Between 6 am and 6:59 am,25 to 34 years,Bicycle,15 to 29 minutes,245,,2090 Rue Peel Montreal QC H3A 1W6,02   Wet,18:30,2,,,,1,2,Construction,25,Medical
2,2021,10,Between 6 am and 6:59 am,35 to 44 years,Car and  truck or van,15 to 29 minutes,10865,,3600 Rue University Montreal QC H3A 2B3,01   Dry,19:54,2,,,,1,1,Hazardous Material,22,Medical
2,2021,11,Between 6 am and 6:59 am,35 to 44 years,Car and  truck or van,30 to 59 minutes,9245,,1260 Rue Stanley Montreal QC H3B 4W9,02   Wet,20:17,2,,,,1,1,Traffic Congestion,6,Medical
2,2021,12,Between 6 am and 6:59 am,45 to 54 years,Subway or elevated rail,30 to 59 minutes,255,,800 Boulevard De Maisonneuve E Montreal QC H2L 4M9,02   Wet,21:00,3,,,,1,1,Road Maintenance,13,Medical
2,2022,1,Between 6 am and 6:59 am,45 to 54 years,Subway or elevated rail,60 minutes and over,415,,475 Rue Sherbrooke E Montreal QC H2X 1Y2,01   Dry,04:19,2,,,,1,1,Vehicle Collision,16,Medical
2,2022,2,Between 8 am and 8:59 am,15 to 24 years,Public transit,60 minutes and over,505,,2090 Rue de Bleury Montreal QC H3A 2J5,01   Dry,16:38,3,,,,1,2,Medical Emergency,9,Medical
2,2022,3,Between 8 am and 8:59 am,25 to 34 years,Public transit,15 to 29 minutes,1335,,1260 Rue Drummond Montreal QC H3G 1V7,01   Dry,16:30,2,,,,1,1,Road Debris,11,Medical
2,2022,4,Between 8 am and 8:59 am,25 to 34 years,Subway or elevated rail,15 to 29 minutes,925,,1000 Rue Saint-Antoine O Montreal QC H3C 3R7,01   Dry,17:50,2,,,,1,2,Traffic Signal Issue,14,Medical
2,2022,5,Between 8 am and 8:59 am,25 to 34 years,Subway or elevated rail,30 to 59 minutes,1690,,380 Saint-Antoine St W Montreal QC H2Y 3X7,01   Dry,17:50,2,,,,1,1,Vehicle Breakdown,17,Medical
2,2022,6,Between 8 am and 8:59 am,45 to 54 years,Car and  truck or van,30 to 59 minutes,6110,,800 Boulevard De Maisonneuve E Montreal QC H2L 4M9,01   Dry,18:28,1,1,,1,1,1,Severe Weather,28,Medical
2,2022,7,Between 8 am and 8:59 am,45 to 54 years,Subway or elevated rail,15 to 29 minutes,335,,1260 Rue University Montreal QC H3B 3B9,01   Dry,19:35,2,,,,1,2,Construction,23,Medical
2,2022,8,Between 8 am and 8:59 am,55 to 64 years,Subway or elevated rail,30 to 59 minutes,410,,1000 Rue de la Commune E Montreal QC H2L 2E7,01   Dry,06:46,2,,,,1,1,Hazardous Material,21,Medical
2,2022,9,Between 8 am and 8:59 am,55 to 64 years,Subway or elevated rail,60 minutes and over,155,,475 Avenue des Pins O Montreal QC H2W 1S4,01   Dry,07:42,2,1,,,1,1,Traffic Congestion,7,Medical
2,2022,10,Between 9 am and 11:59 am,15 to 24 years,Public transit,15 to 29 minutes,1015,,2090 Rue Peel Montreal QC H3A 1W6,06   Ice,09:16,3,,,,1,1,Road Maintenance,12,Medical
2,2022,11,Between 9 am and 11:59 am,15 to 24 years,Public transit,30 to 59 minutes,1200,,3600 Rue University Montreal QC H3A 2B3,09   Spilled liquid,19:15,2,,,,1,1,Vehicle Collision,18,Medical
2,2022,12,Between 9 am and 11:59 am,35 to 44 years,Subway or elevated rail,15 to 29 minutes,205,,475 Rue Sherbrooke E Montreal QC H2X 1Y2,01   Dry,12:46,2,,,,1,1,Medical Emergency,10,Motor Vehicle Accident
2,2023,1,Between 12 pm and 4:59 am,25 to 34 years,Car and  truck or van,15 to 29 minutes,8365,,2090 Rue de Bleury Montreal QC H3A 2J5,01   Dry,11:50,2,,,,1,2,Road Debris,9,Medical
2,2023,2,Between 12 pm and 4:59 am,25 to 34 years,Car and  truck or van,30 to 59 minutes,6040,,1260 Rue Drummond Montreal QC H3G 1V7,02   Wet,16:50,2,,,,1,2,Traffic Signal Issue,13,Medical
2,2023,3,Between 12 pm and 4:59 am,25 to 34 years,Subway or elevated rail,15 to 29 minutes,350,,1000 Rue Sherbrooke O Montreal QC H3A 1G5,04   Slush,00:00,1,,,,1,1,Vehicle Breakdown,16,Medical
2,2023,4,Between 12 pm and 4:59 am,25 to 34 years,Bicycle,60 minutes and over,30,,3800 Chemin de la Côte-des-Neiges Montreal QC H3H 1V1,09   Spilled liquid,15:05,2,,,,1,2,Severe Weather,25,Medical
2,2023,5,Between 12 pm and 4:59 am,35 to 44 years,Public transit,15 to 29 minutes,595,,2090 Rue Mackay Montreal QC H3G 2J1,01   Dry,18:23,2,,,,2,1,Construction,20,Medical
2,2023,6,Between 12 pm and 4:59 am,35 to 44 years,Subway or elevated rail,15 to 29 minutes,205,,3025 Rue Sherbrooke O Montreal QC H3Z 1A7,04   Slush,16:19,1,,,,2,2,Hazardous Material,20,Medical
2,2023,7,Between 12 pm and 4:59 am,45 to 54 years,Public transit,60 minutes and over,1000,,789 Rue Saint-Urbain Montreal QC H2Z 1J7,09   Spilled liquid,19:00,2,,,,2,1,Traffic Congestion,6,Medical
2,2023,8,Between 12 pm and 4:59 am,45 to 54 years,Subway or elevated rail,15 to 29 minutes,165,,450 Boulevard De Maisonneuve O Montreal QC H3A 1L4,02   Wet,14:30,2,,,,1,2,Road Maintenance,14,Medical
2,2023,9,Between 12 pm and 4:59 am,55 to 64 years,Car and  truck or van,60 minutes and over,1145,,1000 Rue de la Gauchetière O Montreal QC H3B 4W5,09   Spilled liquid,20:35,2,,,,1,2,Vehicle Collision,17,Medical
2,2023,10,Between 12 pm and 4:59 am,55 to 64 years,Public transit,15 to 29 minutes,380,,1260 Rue University Montreal QC H3B 3B9,02   Wet,23:56,2,2,,,1,1,Medical Emergency,8,Medical
2,2023,11,Between 12 pm and 4:59 am,55 to 64 years,Subway or elevated rail,60 minutes and over,220,,2090 Rue Peel Montreal QC H3A 1W6,06   Ice,07:45,2,,,,1,2,Road Debris,10,Motor Vehicle Accident
2,2023,12,Between 5 am and 5:59 am,65 to 74 years,Public transit,60 minutes and over,140,,1500 Avenue Atwater Montreal QC H3Z 1X5,04   Slush,08:15,2,,,,,,Traffic Signal Issue,15,Medical
4,2021,1,Between 6 am and 6:59 am,15 to 24 years,Car and  truck or van,15 to 29 minutes,1940,"92,70,000",LUMBERMAN WAY - ORLEANS BLVD (0004359),02   Wet,01:00,1,,,,,, Vehicle Collision          ,5,Medical
4,2021,2,Between 6 am and 6:59 am,15 to 24 years,Car and  truck or van,30 to 59 minutes,1195,"87,00,000",BAYSHORE DR - WOODRIDGE CRES N (0001209),04   Slush,17:00,2,,,,,, Road Maintenance           ,8,Medical
4,2021,3,Between 6 am and 6:59 am,25 to 34 years,Bicycle,30 to 59 minutes,30,"53,20,000",CARTIER ST btwn MCLEOD ST & MCLEOD ST (3ZA80E),02   Wet,00:00,1,,,,,, Vehicle Collision          ,15,Medical
4,2021,4,Between 6 am and 6:59 am,35 to 44 years,Car and  truck or van,15 to 29 minutes,3925,"12,00,000",BOOTH ST - SOMERSET ST (0002216),02   Wet,15:45,2,,,,,, Medical Emergency          ,10,Medical
4,2021,5,Between 6 am and 6:59 am,35 to 44 years,Car and  truck or van,30 to 59 minutes,3180,"10,00,000",HAZELDEAN RD - HUNTMAR DR IBER RD (0000075),02   Wet,17:52,2,,,,,, Road Debris                ,6,Medical
4,2021,6,Between 6 am and 6:59 am,35 to 44 years,Car and  truck or van,60 minutes and over,525,"10,70,000",RODEO DR btwn PALMADEO DR & SAN MATEO DR (37ZO7S),06   Ice,18:00,1,,,,,, Traffic Signal Issue       ,7,Medical
4,2021,7,Between 6 am and 6:59 am,35 to 44 years,Public transit,15 to 29 minutes,90,"15,50,000",CASTLEFRANK RD - TERRY FOX DR (0011757),02   Wet,17:15,2,,,,,, Vehicle Breakdown          ,12,Medical
4,2021,8,Between 6 am and 6:59 am,55 to 64 years,Car and  truck or van,30 to 59 minutes,2520,"18,40,000",ALBERT ST - LYON ST (0002208),02   Wet,18:00,2,,,,,, Severe Weather             ,20,Medical
4,2021,9,Between 6 am and 6:59 am,55 to 64 years,Car and  truck or van,60 minutes and over,425,"26,00,000",MARCH RD btwn MORGAN'S GRANT WAY & TERRY FOX DR (3ZA3CF),02   Wet,19:54,2,,,,,, Construction               ,18,Emergency Transfer
4,2021,10,Between 6 am and 6:59 am,55 to 64 years,Public transit,15 to 29 minutes,145,"25,10,000",WALKLEY RD btwn 152 E OF HEATHERINGTON RD & HEATHERINGTON RD (3ZA2LVA),06   Ice,20:46,1,,,,,, Hazardous Material         ,25,Medical
4,2021,11,Between 6 am and 6:59 am,55 to 64 years,Public transit,30 to 59 minutes,210,"28,10,000",JEANNE D'ARC BLVD btwn VINETTE CRES & WILLOW AVE (3ZA7K5),06   Ice,02:10,1,,,,,, Traffic Congestion         ,6,Medical
4,2021,12,Between 6 am and 6:59 am,55 to 64 years,Public transit,60 minutes and over,145,"26,20,000",HERZBERG RD - MARCH RD (0003170),06   Ice,04:04,1,1,,,,, Road Maintenance           ,9,Medical
4,2022,1,Between 8 am and 8:59 am,15 to 24 years,Car and  truck or van,15 to 29 minutes,1430,"17,10,000",HUNT CLUB RD - BRIDLE PATH DR DAZE ST (0008214),01   Dry,21:25,2,,,,,, Vehicle Collision          ,16,Medical
4,2022,2,Between 8 am and 8:59 am,15 to 24 years,Car and  truck or van,30 to 59 minutes,595,"21,90,000",MARCH RD btwn HOWIE RD & JACOB'S GT (3ZA2Q9),02   Wet,08:20,1,,,,,, Medical Emergency          ,11,Medical
4,2022,3,Between 8 am and 8:59 am,15 to 24 years,Car and  truck or van,60 minutes and over,60,"26,40,000",HAWTHORNE RD btwn DAVIDSON RD & LEITRIM RD (3ZBPIY),01   Dry,18:00,2,,,,,, Road Debris                ,8,Medical
4,2022,4,Between 8 am and 8:59 am,35 to 44 years,Public transit,60 minutes and over,130,"21,60,000",BLAIR RD - OGILVIE RD (0004120),02   Wet,08:43,2,,,,,, Traffic Signal Issue       ,10,Medical
4,2022,5,Between 8 am and 8:59 am,45 to 54 years,Car and  truck or van,15 to 29 minutes,3375,"17,00,000",STITTSVILLE MAIN ST - HAZELDEAN RD (0000050),01   Dry,11:25,2,,,,,, Vehicle Breakdown          ,13,Motor Vehicle Accident
4,2022,6,Between 8 am and 8:59 am,45 to 54 years,Car and  truck or van,30 to 59 minutes,1675,"17,10,000",WOODROFFE AVE btwn MIRAMICHI ST & TECUMSEH ST (3ZA3GS),01   Dry,12:17,3,,,,,, Severe Weather             ,22,Medical
4,2022,7,Between 8 am and 8:59 am,45 to 54 years,Car and  truck or van,60 minutes and over,215,"20,10,000",WILLWOOD CRES btwn MARAVISTA DR & WEYBRIDGE DR (3ZBOAY),02   Wet,12:36,1,1,,,,, Construction               ,20,Medical
4,2022,8,Between 8 am and 8:59 am,45 to 54 years,Public transit,15 to 29 minutes,65,"20,10,000",BANK ST btwn ANOKA ST & WILDWOOD AVE (3ZA366),01   Dry,12:41,2,,,,,, Hazardous Material         ,28,Emergency Transfer
4,2022,9,Between 8 am and 8:59 am,45 to 54 years,Public transit,30 to 59 minutes,150,"40,30,000",BANNER RD btwn PARKMOUNT CRES & PARKMOUNT CRES (3ZAB4V),01   Dry,12:30,2,,,,,, Traffic Congestion         ,7,Medical
4,2022,10,Between 9 am and 11:59 am,15 to 24 years,Bicycle,30 to 59 minutes,15,"39,10,000",INDUSTRIAL AVE - RUSSELL RD (0007732),01   Dry,14:39,2,,,,,, Road Maintenance           ,10,Airport Standby
4,2022,11,Between 9 am and 11:59 am,25 to 34 years,Car and  truck or van,15 to 29 minutes,1935,"38,30,000",HWY 417 INNES IC112R57 - INNES RD (0012298),01   Dry,15:13,2,2,,,,, Vehicle Collision          ,17,Medical
4,2022,12,Between 9 am and 11:59 am,25 to 34 years,Car and  truck or van,30 to 59 minutes,635,"37,50,000",ASSALY RD - RICHMOND RD (0002682),05   Packed snow,15:57,3,,,,,, Medical Emergency          ,12,Medical
4,2023,1,Between 9 am and 11:59 am,35 to 44 years,Car and  truck or van,60 minutes and over,150,"30,40,000",NANTES ST btwn BRIANNA WAY & PORTOBELLO BLVD (3ZACET),01   Dry,00:00,1,,,,,, Road Debris                ,9,Medical
4,2023,2,Between 9 am and 11:59 am,35 to 44 years,Public transit,15 to 29 minutes,70,"33,90,000",EAGLESON RD - PERTH ST RICHMOND RD (0009376),02   Wet,08:19,2,,,,,, Traffic Signal Issue       ,11,Motor Vehicle Accident
4,2023,3,Between 9 am and 11:59 am,35 to 44 years,Public transit,30 to 59 minutes,70,"43,80,000",INNES RD - ORCHARDVIEW AVE ESPRIT DR (0012279),04   Slush,12:30,2,,,,,, Vehicle Breakdown          ,14,Medical
4,2023,4,Between 9 am and 11:59 am,55 to 64 years,Public transit,30 to 59 minutes,45,"38,30,000",OPUS ST btwn BRIGITTA ST & ROMINA ST (6OD79Y),09   Spilled liquid,09:10,2,,,,,, Severe Weather             ,24,Medical
4,2023,5,Between 9 am and 11:59 am,55 to 64 years,Public transit,60 minutes and over,20,"36,00,000",BANK ST - DAVIDSON RD LESTER RD (0008797),01   Dry,13:30,2,,,,,, Construction               ,22,Medical
4,2023,6,Between 12 pm and 4:59 am,15 to 24 years,Car and  truck or van,15 to 29 minutes,2770,"37,80,000",HALTON TERR MAXWELL BRIDGE RD - MARCH RD (0011852),01   Dry,14:01,1,,,,,, Hazardous Material         ,30,Medical
4,2023,7,Between 12 pm and 4:59 am,15 to 24 years,Car and  truck or van,30 to 59 minutes,635,"32,60,000",BRUCE ST - DOW ST (0001796),01   Dry,14:12,2,,,,,, Medical Emergency          ,12,Medical
4,2023,8,Between 12 pm and 4:59 am,15 to 24 years,Car and  truck or van,60 minutes and over,120,"28,00,000",CARLING AVE - ROSEVIEW AVE (0002644),01   Dry,15:00,2,,,,,, Road Debris                ,8,Medical
4,2023,9,Between 12 pm and 4:59 am,15 to 24 years,Public transit,15 to 29 minutes,540,"58,50,000",CRESTWAY DR - LEIKIN DR (0009767),01   Dry,15:02,2,1,1,,,, Traffic Signal Issue       ,11,Medical
4,2023,10,Between 12 pm and 4:59 am,15 to 24 years,Public transit,30 to 59 minutes,490,"55,60,000",STALWART CRES E - WHITE ALDER AVE (0014154),06   Ice,09:40,2,,,,,, Vehicle Breakdown          ,14,Medical
4,2023,11,Between 12 pm and 4:59 am,55 to 64 years,Public transit,60 minutes and over,140,"55,70,000",JEANNE D'ARC BLVD - ORLEANS BLVD N (0003792),01   Dry,15:50,2,,,,,, Vehicle Breakdown          ,15,Motor Vehicle Accident
4,2023,12,Between 5 am and 5:59 am,15 to 24 years,Public transit,60 minutes and over,45,"51,20,000",MAITLAND AVE GLENMOUNT AVE - ERINDALE DR (0002724),04   Slush,08:45,1,,,,,, Severe Weather             ,26,Medical
10,2021,1,Between 6 am and 6:59 am,15 to 24 years,Car and  truck or van,30 to 59 minutes,95,"5,67,876"," 103 E Main St #59, Regina, SK, S4S 5Y2",01   Dry,06:57,1,,,,,, Traffic Congestion         ,6,
10,2021,2,Between 6 am and 6:59 am,15 to 24 years,Car and  truck or van,60 minutes and over,10,"5,45,605"," 2100 Dewdney Ave, Regina, SK, S4R 1H3",02   Wet,00:00,1,,,,,, Road Maintenance           ,9,
10,2021,3,Between 6 am and 6:59 am,15 to 24 years,Public transit,15 to 29 minutes,10,"4,82,448"," 1801 Hamilton St, Regina, SK, S4P 4B4",06   Ice,08:29,1,,,,,, Vehicle Collision          ,16,
10,2021,4,Between 6 am and 6:59 am,15 to 24 years,Public transit,30 to 59 minutes,10,"4,77,883"," 2400 Saskatchewan Dr, Regina, SK, S4P 4H8",01   Dry,08:55,2,2,1,,,, Medical Emergency          ,11,
10,2021,5,Between 6 am and 6:59 am,25 to 34 years,Car and  truck or van,15 to 29 minutes,975,"6,00,348"," 1230 Broad St, Regina, SK, S4R 1Y3",01   Dry,09:36,2,,,,,, Road Debris                ,7,
10,2021,6,Between 6 am and 6:59 am,25 to 34 years,Car and  truck or van,30 to 59 minutes,255,"6,15,727"," 3355 Quance St, Regina, SK, S4V 3A7",02   Wet,10:55,2,,,,,, Traffic Signal Issue       ,8,
10,2021,7,Between 8 am and 8:59 am,15 to 24 years,Car and  truck or van,15 to 29 minutes,520,"6,20,956"," 425 Victoria Ave, Regina, SK, S4N 0P6",01   Dry,12:06,2,,,,,, Vehicle Breakdown          ,13,
10,2021,8,Between 8 am and 8:59 am,15 to 24 years,Car and  truck or van,30 to 59 minutes,30,"5,18,164"," 100 Albert St, Regina, SK",01   Dry,00:00,1,,,,,, Severe Weather             ,22,
10,2021,9,Between 8 am and 8:59 am,35 to 44 years,Car and  truck or van,60 minutes and over,25,"5,67,807"," 2101 Quance St, Regina, SK, S4V 3A7",01   Dry,00:00,1,,,,,, Construction               ,20,
10,2021,10,Between 8 am and 8:59 am,35 to 44 years,Public transit,15 to 29 minutes,10,"5,10,058"," 1700 Elphinstone St, Regina, SK, S4T 1K1",02   Wet,17:15,2,,,,,, Hazardous Material         ,28,
10,2021,11,Between 8 am and 8:59 am,35 to 44 years,Public transit,30 to 59 minutes,25,"6,18,702"," 1800 11th Ave, Regina, SK, S4P 0H8",02   Wet,00:00,1,,,,,, Traffic Congestion         ,7,
10,2021,12,Between 8 am and 8:59 am,45 to 54 years,Car and  truck or van,15 to 29 minutes,725,"5,69,826"," 2401 Saskatchewan Dr, Regina, SK, S4P 3B9",04   Slush,14:20,2,,,,,, Road Maintenance           ,10,
10,2022,1,Between 8 am and 8:59 am,45 to 54 years,Car and  truck or van,30 to 59 minutes,85,"6,02,527"," 1251 Albert St, Regina, SK, S4R 2R2",09   Spilled liquid,19:50,2,,,,,, Vehicle Collision          ,17,
10,2022,2,Between 8 am and 8:59 am,45 to 54 years,Car and  truck or van,60 minutes and over,30,"5,63,267"," 2202 Broad St, Regina, SK",04   Slush,20:20,2,,,,,, Medical Emergency          ,12,
10,2022,3,Between 8 am and 8:59 am,45 to 54 years,Public transit,15 to 29 minutes,10,"4,94,408"," 2545 E Victoria Ave, Regina, SK, S4N 6M5",04   Slush,15:00,2,,,,,, Road Debris                ,8,
10,2022,4,Between 8 am and 8:59 am,45 to 54 years,Public transit,30 to 59 minutes,15,"4,86,836"," 123 Regina St, Regina, Saskatchewan, S4R 0T9",09   Spilled liquid,17:20,2,,,,,, Traffic Signal Issue       ,11,
10,2022,5,Between 8 am and 8:59 am,55 to 64 years,Car and  truck or van,15 to 29 minutes,690,"6,23,509"," 456 Saskatchewan Dr, Regina, Saskatchewan, S4P 0B7",09   Spilled liquid,21:30,1,,,,,, Vehicle Breakdown          ,14,
10,2022,6,Between 8 am and 8:59 am,55 to 64 years,Car and  truck or van,30 to 59 minutes,120,"6,79,563"," 789 Albert St, Regina, Saskatchewan, S4R 2P6",09   Spilled liquid,19:06,2,,,,,, Severe Weather             ,24,
10,2022,7,Between 9 am and 11:59 am,15 to 24 years,Public transit,15 to 29 minutes,50,"6,47,099"," 321 Victoria Ave, Regina, Saskatchewan",01   Dry,22:20,1,,,,,, Construction               ,22,
10,2022,8,Between 9 am and 11:59 am,15 to 24 years,Public transit,30 to 59 minutes,20,"5,18,392"," 654 Broad St, Regina, Saskatchewan, S4R 1X7",09   Spilled liquid,23:15,2,,,,,, Hazardous Material         ,30,
10,2022,9,Between 9 am and 11:59 am,15 to 24 years,Public transit,60 minutes and over,25,"6,04,370"," 987 Dewdney Ave, Regina, Saskatchewan, S4N 4G8",01   Dry,00:04,2,,,,,, Traffic Congestion         ,8,
10,2022,10,Between 9 am and 11:59 am,25 to 34 years,Car and  truck or van,15 to 29 minutes,420,"5,19,180"," 135 7th Ave, Regina, Saskatchewan, S4N 5A5",09   Spilled liquid,06:45,2,,,,,, Road Maintenance           ,11,
10,2022,11,Between 9 am and 11:59 am,55 to 64 years,Car and  truck or van,60 minutes and over,10,"6,47,399"," 246 13th Ave, Regina, Saskatchewan, S4P 0V2",02   Wet,07:54,2,,,,,, Vehicle Collision          ,18,
10,2022,12,Between 9 am and 11:59 am,55 to 64 years,Public transit,15 to 29 minutes,10,"5,94,500"," 369 Elphinstone St, Regina, Saskatchewan, S4T 3Y3",01   Dry,17:35,2,,,,,, Medical Emergency          ,13,
10,2023,1,Between 12 pm and 4:59 am,15 to 24 years,Car and  truck or van,15 to 29 minutes,850,"6,23,292"," 147 McCarthy Blvd, Regina, Saskatchewan, S4R 3S2",01   Dry,21:18,2,2,2,,,, Road Debris                ,9,
10,2023,2,Between 12 pm and 4:59 am,35 to 44 years,Car and  truck or van,30 to 59 minutes,140,"5,64,205"," 258 Pasqua St, Regina, Saskatchewan, S4T 4M4",06   Ice,08:00,2,,,,,, Traffic Signal Issue       ,12,
10,2023,3,Between 12 pm and 4:59 am,35 to 44 years,Car and  truck or van,60 minutes and over,65,"5,55,706"," 369 Rae St, Regina, Saskatchewan, S4T 5B2",01   Dry,15:10,2,,,,,, Vehicle Breakdown          ,15,
10,2023,4,Between 12 pm and 4:59 am,35 to 44 years,Public transit,30 to 59 minutes,30,"5,40,278"," 159 McIntyre St, Regina, Saskatchewan, S4R 2L6",01   Dry,15:00,2,,,,,, Severe Weather             ,26,
10,2023,5,Between 12 pm and 4:59 am,35 to 44 years,Public transit,60 minutes and over,15,"6,96,664"," 753 Athol St, Regina, Saskatchewan, S4T 3B3",01   Dry,16:20,2,,,,,, Construction               ,24,
10,2023,6,Between 12 pm and 4:59 am,45 to 54 years,Car and  truck or van,15 to 29 minutes,575,"7,45,857"," 951 Retallack St, Regina, Saskatchewan, S4T 2E9",01   Dry,15:00,2,,,,,, Hazardous Material         ,32,
10,2023,7,Between 12 pm and 4:59 am,45 to 54 years,Car and  truck or van,30 to 59 minutes,110,"7,00,300","16. 2388 Elphinstone St, Regina, Saskatchewan, S4T 3N3",01   Dry,00:00,1,,,,,, Vehicle Breakdown          ,34,
10,2023,8,Between 12 pm and 4:59 am,45 to 54 years,Car and  truck or van,60 minutes and over,30,"5,76,299","2499 McCarthy Blvd, Regina, Saskatchewan, S4R 3C3",01   Dry,15:30,2,,,,,, Severe Weather             ,24,
10,2023,9,Between 12 pm and 4:59 am,55 to 64 years,Car and  truck or van,15 to 29 minutes,370,"6,54,491","2610 Rae St, Regina, Saskatchewan, S4T 2H5",06   Ice,16:42,2,,,,,, Construction               ,12,
10,2023,10,Between 12 pm and 4:59 am,55 to 64 years,Car and  truck or van,30 to 59 minutes,85,"4,79,465","2721 McIntyre St, Regina, Saskatchewan, S4S 2R3",01   Dry,01:47,1,,,,,, Hazardous Material         ,45,
10,2023,11,Between 12 pm and 4:59 am,55 to 64 years,Car and  truck or van,60 minutes and over,20,"7,45,857","2832 Athol St, Regina, Saskatchewan, S4T 3E5",01   Dry,03:43,1,,,,,, Traffic Congestion         ,8,
10,2023,12,Between 5 am and 5:59 am,45 to 54 years,Public transit,15 to 29 minutes,10,"5,64,205","3387 Victoria Ave, Regina, Saskatchewan, S4N 0P5",02   Wet,12:15,2,2,,,,, Vehicle Breakdown          ,25,
1,2021,1,Between 6 am and 6:59 am,15 to 24 years,Car and  truck or van,15 to 29 minutes,3795,"1,08,95,000",YONGE AND STEELES,02   Wet,19:02,1,1,1,,1,1,Emergency Services,4,Medical
1,2021,2,Between 6 am and 6:59 am,15 to 24 years,Car and  truck or van,30 to 59 minutes,3400,"2,17,92,000",CANNIFF AND STRACHAN,01   Dry,20:41,2,,,,1,1,Mechanical,10,Medical
1,2021,3,Between 6 am and 6:59 am,15 to 24 years,Car and  truck or van,60 minutes and over,1150,"3,74,57,000",WILSON GARAGE,01   Dry,21:30,2,,,,1,1,Mechanical,24,Medical
1,2021,4,Between 6 am and 6:59 am,15 to 24 years,Public transit,15 to 29 minutes,280,"4,84,95,000",YONGE AND STEELES,01   Dry,07:20,1,,,,1,1,Emergency Services,15,Medical
1,2021,5,Between 6 am and 6:59 am,15 to 24 years,Subway or elevated rail,60 minutes and over,150,"5,99,47,000",JANE STATION,02   Wet,02:27,3,1,1,,1,1,Vision,30,Medical
1,2021,6,Between 6 am and 6:59 am,15 to 24 years,Bicycle,15 to 29 minutes,60,"7,65,46,000",PRINCESS GATE AND NEWF,02   Wet,05:33,2,2,2,,1,1,Security,11,Medical
